orbit,original_cells,common_cells,retained_fraction
27963,516781,196090,0.3794450647372872
28024,519066,196090,0.37777469531812913
28706,556672,196090,0.35225411014026214
28828,556673,196090,0.3522534773556468
28909,409964,196090,0.4783102906596677
28085,534786,196090,0.3666700324989809
28192,550489,196090,0.3562105691485207
28970,446517,196090,0.43915461225440466
29092,553858,196090,0.35404381628504056
29545,341920,196090,0.5734967243799719
29606,556675,196090,0.3522522117932366
