city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,source_run_id
phoenix,phoenix:27963,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260919,0.14923022012721976,0.02387730633976957,0.09300416545598333,0.02370413628084978,0.1465817613376315,0.5621753589028478,0.1466920475937256,pooled_pilot_20260919_phoenix
phoenix,phoenix:28024,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260919,0.14923022012721976,0.028530391271296047,0.1144188418129366,0.029167026989539043,0.22638382425071488,0.8721031085512774,0.23041367957111714,pooled_pilot_20260919_phoenix
phoenix,phoenix:28706,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260919,0.14923022012721976,0.034679197696811055,0.13519959575356855,0.03531561380706995,0.28795946332403555,1.1193529928327202,0.2923478085483593,pooled_pilot_20260919_phoenix
phoenix,phoenix:28828,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260919,0.14923022012721976,0.030818755850067145,0.1220336223458458,0.03166233266408969,0.22992926779124742,0.8935908469563927,0.23469431781617842,pooled_pilot_20260919_phoenix
phoenix,phoenix:28909,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260919,0.14923022012721976,0.04023748418353197,0.15870028372769607,0.0399916938822901,0.3298547967976835,1.2457637915275965,0.3306550343722805,pooled_pilot_20260919_phoenix
phoenix,phoenix:28085,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260921,0.14923022012721976,0.04122229276084065,0.16444036361822878,0.04344531460592696,0.3277621706637635,1.2494026905917792,0.3413255353663147,pooled_extension_20260921_phoenix
phoenix,phoenix:28192,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260921,0.14923022012721976,0.028536211945822558,0.11194213010291276,0.030420708558114986,0.22238219891407482,0.8415250306689472,0.22553842727104187,pooled_extension_20260921_phoenix
phoenix,phoenix:28970,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260921,0.14923022012721976,0.07323484954567158,0.2892812742007451,0.07305273785926679,0.616799265780892,2.403908027319071,0.6167422950240604,pooled_extension_20260921_phoenix
phoenix,phoenix:29092,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260921,0.14923022012721976,0.03880443742604304,0.1491051954009358,0.039403897598317444,0.29481553168497393,1.149069327677009,0.2995644909397862,pooled_extension_20260921_phoenix
phoenix,phoenix:29545,common_cells_all11,196090,1694,1643,132.00690241042216,0.0006731954837596112,120.22175640532294,0.004043449845273122,0.017141702328298036,910.2800669283376,0.0038927025236616575,7,194389,[],1000,1000,0,1694,20260921,0.14923022012721976,0.02120118313761196,0.08047717514321073,0.021744376768213967,0.1480421418149983,0.5503045307845715,0.15058535281841345,pooled_extension_20260921_phoenix
