city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp
phoenix,phoenix:27963,spatial_4km,516781,3232,3220,372.5655681254536,0.0007209351120212499,327.79953487137414,0.001492101943770041,0.006541126695095013,2193.148192501915,0.0014163515682551464,7,513542,[],1000,1000,0,253,20260919,0.0774984041759147,0.02659185328762456,0.10132325863797598,0.026341263898505125,0.18270798049431622,0.7044003328686328,0.17794512293205633
phoenix,phoenix:27963,spatial_8km,516781,3232,3220,372.5655681254536,0.0007209351120212499,327.79953487137414,0.001492101943770041,0.006541126695095013,2193.148192501915,0.0014163515682551464,7,513542,[],1000,1000,0,79,20260919,0.0774984041759142,0.03318330643587326,0.12929699754755009,0.032682069221496704,0.23867400676514078,0.9455044271511284,0.23851235232683063
phoenix,phoenix:28024,spatial_4km,519066,3100,3084,391.73002206165864,0.0007546824913626757,338.5182516157169,0.0015279560919974995,0.006731444909613904,2099.0649469448763,0.0016294465374087717,7,515959,[],1000,1000,0,248,20260919,0.08756833994531829,0.048295581956620405,0.1877123447164406,0.049717936110636046,0.3874453586388527,1.5078714835621359,0.39630218224410674
phoenix,phoenix:28024,spatial_8km,519066,3100,3084,391.73002206165864,0.0007546824913626757,338.5182516157169,0.0015279560919974995,0.006731444909613904,2099.0649469448763,0.0016294465374087717,7,515959,[],1000,997,3,78,20260919,0.08756833994531833,0.05614171694085853,0.22706442214338618,0.059657381983802396,0.48657936216291503,1.9523033863953803,0.517249870320269
phoenix,phoenix:28706,spatial_4km,556672,3246,3235,427.21563581488874,0.00076744588521587,368.5434725557295,0.001404186070454534,0.006190880125145156,2237.477390745374,0.001494100577170837,7,553419,[],1000,1000,0,253,20260919,0.0772907830303458,0.05175731186058888,0.20359386034712879,0.05141131445626776,0.4455321003675987,1.723920153412287,0.4392412078691549
phoenix,phoenix:28706,spatial_8km,556672,3246,3235,427.21563581488874,0.00076744588521587,368.5434725557295,0.001404186070454534,0.006190880125145156,2237.477390745374,0.001494100577170837,7,553419,[],1000,1000,0,79,20260919,0.07729078303034596,0.06308648981032024,0.25234713855861113,0.06375160853279761,0.5730684053858783,2.2364048027158816,0.5798308026043879
phoenix,phoenix:28828,spatial_4km,556673,3246,3235,427.21566612845646,0.0007674445610411435,368.54454706004594,0.0014041829347902109,0.006190871743563658,2237.4831079627306,0.0014941004711552515,7,553420,[],1000,1000,0,253,20260919,0.07729078307521872,0.04528311362890376,0.1741763744896785,0.044883165161026875,0.35689969279183636,1.3372867551369083,0.36146566108246314
phoenix,phoenix:28828,spatial_8km,556673,3246,3235,427.21566612845646,0.0007674445610411435,368.54454706004594,0.0014041829347902109,0.006190871743563658,2237.4831079627306,0.0014941004711552515,7,553420,[],1000,1000,0,79,20260919,0.0772907830752189,0.052869858284004624,0.2108737921211501,0.052655897712382875,0.4562904388310191,1.8188640830568463,0.4632750954905038
phoenix,phoenix:28909,spatial_4km,409964,2764,2737,319.565538082363,0.0007794965852669088,278.36897458361886,0.0017240648434939283,0.007955526531594918,1749.6324344958307,0.0018859261222583747,7,407193,[],1000,1000,0,235,20260919,0.0783174124640597,0.05015712117280166,0.1963236509327444,0.05115837661654263,0.3918578746805049,1.528716810498561,0.4057147603742533
phoenix,phoenix:28909,spatial_8km,409964,2764,2737,319.565538082363,0.0007794965852669088,278.36897458361886,0.0017240648434939283,0.007955526531594918,1749.6324344958307,0.0018859261222583747,7,407193,[],1000,998,2,75,20260919,0.07831741246406006,0.05543484338075623,0.21201588620711587,0.056248648319686956,0.4477475426019701,1.729797330383012,0.45947236710880723
