city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,acquisition_utc,local_mean_solar_hour,view_zenith_p95_deg,collection,frozen_25_degree_precision_exception
phoenix,phoenix:27963,paired_primary,516781,3232,3220,372.5655681254536,0.0007209351120212499,327.79953487137414,0.001492101943770041,0.006541126695095013,2193.148192501915,0.0014163515682551464,7,513542,[],1000,1000,0,3232,20260919,0.07749840417591468,0.017323052633300695,0.06770945910599113,0.01745410846290883,0.11029323412241059,0.43506422232851794,0.11130105954770304,2023-06-11T23:39:53.676000+00:00,16.20064308888889,10.77701473236084,002,True
phoenix,phoenix:27963,registration_dx-1_dy0,515716,3224,3213,373.22624391115335,0.0007237049924981062,328.0679099702673,0.001509991712536257,0.006472497195556866,2197.8806992677,0.0014268877096034868,7,512485,[],1000,1000,0,3224,20260919,0.07781773981059087,0.016735372881067818,0.06810653846101755,0.01698244791505029,0.10611208631894334,0.421056135929609,0.10800187101398324,2023-06-11T23:39:53.676000+00:00,16.20064308888889,10.77701473236084,002,True
phoenix,phoenix:27963,registration_dx1_dy0,515805,3229,3216,375.409813724457,0.0007278134444692414,329.09157116907517,0.0014841235962376833,0.006691370835842026,2193.5127995675684,0.0014578142864354528,7,512569,[],1000,1000,0,3229,20260919,0.07703250678607211,0.017878721346544182,0.0708630245994849,0.017482107533167965,0.11215049026313673,0.4558185805079118,0.11096597416026333,2023-06-11T23:39:53.676000+00:00,16.20064308888889,10.77701473236084,002,True
phoenix,phoenix:27963,registration_dx0_dy-1,515604,3221,3210,373.9953781961052,0.000725353911521449,328.24128910864505,0.0014250575803263028,0.0063107340347683056,2195.333643286493,0.001318996090717988,7,512376,[],1000,1000,0,3221,20260919,0.07757094290938898,0.01718131194151496,0.06621941533341724,0.017268356693545407,0.11245230817834867,0.4329684262393583,0.11263656163809288,2023-06-11T23:39:53.676000+00:00,16.20064308888889,10.77701473236084,002,True
phoenix,phoenix:27963,registration_dx0_dy1,515699,3225,3216,375.8669449907126,0.000728849474190783,330.1100689605445,0.001522598105113292,0.0065026230847129276,2203.025394542923,0.00147269440976281,7,512467,[],1000,1000,0,3225,20260919,0.07957684040443709,0.01746535123479567,0.06853453666057452,0.017092229557066477,0.10864739246975719,0.4163709045722763,0.10810484591467753,2023-06-11T23:39:53.676000+00:00,16.20064308888889,10.77701473236084,002,True
phoenix,phoenix:27963,spatial_2km,516781,3232,3220,372.5655681254536,0.0007209351120212499,327.79953487137414,0.001492101943770041,0.006541126695095013,2193.148192501915,0.0014163515682551464,7,513542,[],1000,1000,0,882,20260919,0.0774984041759147,0.02196108511523132,0.08468916241898594,0.021469813618610997,0.13998703099661605,0.541218169115453,0.1380643741290444,2023-06-11T23:39:53.676000+00:00,16.20064308888889,10.77701473236084,002,True
phoenix,phoenix:28024,paired_primary,519066,3100,3084,391.73002206165864,0.0007546824913626757,338.5182516157169,0.0015279560919974995,0.006731444909613904,2099.0649469448763,0.0016294465374087717,7,515959,[],1000,1000,0,3100,20260919,0.08756833994531825,0.03295749178039762,0.1313084735572625,0.031716293145724654,0.24562222047570698,0.9695802985446402,0.24068375532746128,2023-06-15T22:00:38.485000+00:00,14.546476422222224,14.95167350769043,002,True
phoenix,phoenix:28024,registration_dx-1_dy0,518066,3094,3079,392.169742187423,0.0007569879941695132,338.7139683446235,0.001527413787801768,0.0068874565390353,2100.6011989129042,0.0016438059436270738,7,514965,[],1000,1000,0,3094,20260919,0.0882416802948134,0.03041428398364508,0.11594220040131065,0.03014540703770154,0.23206244086870062,0.8866398013194559,0.22794822908284273,2023-06-15T22:00:38.485000+00:00,14.546476422222224,14.95167350769043,002,True
phoenix,phoenix:28024,registration_dx1_dy0,518253,3099,3080,391.50492066870527,0.000755432039310347,338.1923777393947,0.0014949283027598185,0.0067173518121636435,2102.8695544523666,0.0016065889836415865,7,515147,[],1000,1000,0,3099,20260919,0.08704857396446057,0.03401722137912148,0.13248244573206325,0.03232492115095782,0.2557748645006528,1.0153044374343256,0.24513715784764592,2023-06-15T22:00:38.485000+00:00,14.546476422222224,14.95167350769043,002,True
phoenix,phoenix:28024,registration_dx0_dy-1,518015,3088,3075,392.30779938070486,0.0007573290336779917,338.37021281536255,0.001445788390153478,0.00659859124562775,2104.393371673404,0.0016239734987060711,7,514920,[],1000,1000,0,3088,20260919,0.08766920368902979,0.031714398773100776,0.12577900880601622,0.031268973168560296,0.24057733485778107,0.9230749190680907,0.23353170158784864,2023-06-15T22:00:38.485000+00:00,14.546476422222224,14.95167350769043,002,True
