city,orbit,run_id,acquisition_utc,local_date,local_clock,clock_zone,solar_hour,collection,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,effective_information_blocks,bootstrap_requested,bootstrap_estimable,bootstrap_failed,LST_K_SE_per_10pp,LST_K_SE_per_10pp_8km,LST_K_bootstrap_width_95_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp
atlanta,27835,pooled_pilot_20260919_atlanta,2023-06-03T17:17:40.910000+00:00,2023-06-03,13:17:40,EDT,11.7090708486348,002,485177,7327,7266,27657.221589281144,0.057004395487175,11462.344493400396,0.0011450677718626,4565.54593862316,1000,1000,0,0.006141813220214,0.0134688506489503,0.0245119902818544,0.0390364623304757,0.1501297632059164
atlanta,27896,pooled_pilot_20260919_atlanta,2023-06-07T15:39:07.020000+00:00,2023-06-07,11:39:07,EDT,10.055203565994951,002,510119,7557,7501,29378.58761517817,0.0575916357069197,12208.404707411017,0.0010795010528227,4800.166724858053,1000,1000,0,0.0042693772217049,0.0086792459125231,0.0167884460473736,0.0262751459669784,0.1038117563932619
atlanta,27916,pooled_pilot_20260919_atlanta,2023-06-08T22:58:37.519000+00:00,2023-06-08,18:58:37,EDT,17.37613456959231,002,481257,7245,7178,27277.93115698011,0.0566805909461682,11473.523498671251,0.0011477883364683,4521.740020072154,1000,1000,0,0.002297587962928,0.0048450225513265,0.0088924294523477,0.0124995904940355,0.048358450465501
atlanta,28145,pooled_pilot_20260919_atlanta,2023-06-23T17:12:53.787000+00:00,2023-06-23,13:12:53,EDT,11.56206791844242,002,253835,5016,4894,13999.489523025904,0.0551519275238871,5819.422863934236,0.002187670509477,2667.613237991486,1000,1000,0,0.0089291170188848,0.011202615757565,0.0350125518602838,0.0558729149846956,0.2127203172270968
atlanta,28598,pooled_pilot_20260919_atlanta,2023-07-22T21:46:19.714000+00:00,2023-07-22,17:46:19,EDT,16.042277466196598,002,237294,4903,4742,13009.909685653152,0.0548261215439629,5609.4487266292335,0.0022902937278518,2457.5608927344883,1000,1000,0,0.0058561478743314,0.008799723991301,0.0224703445744056,0.0405561031791198,0.1532451270943409
phoenix,27963,pooled_pilot_20260919_phoenix,2023-06-11T23:39:53.676000+00:00,2023-06-11,16:39:53,MST,16.2123134211585,002,516781,3232,3220,372.5655681254536,0.0007209351120212,327.79953487137414,0.00149210194377,2193.148192501915,1000,1000,0,0.0173230526333006,0.0331833064358732,0.0677094591059911,0.1102932341224105,0.4350642223285179
phoenix,28024,pooled_pilot_20260919_phoenix,2023-06-15T22:00:38.485000+00:00,2023-06-15,15:00:38,MST,14.54451176503197,002,519066,3100,3084,391.73002206165864,0.0007546824913626,338.5182516157169,0.0015279560919974,2099.0649469448763,1000,1000,0,0.0329574917803976,0.0561417169408585,0.1313084735572625,0.2456222204757069,0.9695802985446402
phoenix,28085,pooled_extension_20260921_phoenix,2023-06-19T20:23:24.929000+00:00,2023-06-19,13:23:24,MST,12.9097761324379,002,534786,3194,3183,407.7705511427964,0.0007624929432385,352.39540381231643,0.0014697460086804,2156.6026482234724,1000,1000,0,0.0375958104785974,0.0659937459220538,0.1473481145595758,0.2900375072465574,1.1217360690125489
phoenix,28192,pooled_extension_20260921_phoenix,2023-06-26T17:55:48.103000+00:00,2023-06-26,10:55:48,MST,10.424714143569977,002,550489,3245,3232,421.1872983205276,0.0007651148312146,363.52359398642267,0.0014232819236214,2221.1947357171057,1000,1000,0,0.032053484588979,0.0503374399357518,0.1258636731142564,0.2447738365387746,0.9590396104639468
phoenix,28706,pooled_pilot_20260919_phoenix,2023-07-29T20:53:55.753000+00:00,2023-07-29,13:53:55,MST,13.32486505089011,002,556672,3246,3235,427.21563581488874,0.0007674458852158,368.5434725557295,0.0014041860704545,2237.477390745374,1000,1000,0,0.0320549862166792,0.0630864898103202,0.1245145042419411,0.2615322445655018,1.0136729204747592
phoenix,28828,pooled_pilot_20260919_phoenix,2023-08-06T17:40:07.586000+00:00,2023-08-06,10:40:07,MST,10.102230641951701,002,556673,3246,3235,427.21566612845646,0.0007674445610411,368.54454706004594,0.0014041829347902,2237.48310796273,1000,1000,0,0.0292010254488381,0.0528698582840046,0.115591680059458,0.2181485112706928,0.8313457050401531
phoenix,28909,pooled_pilot_20260919_phoenix,2023-08-11T23:22:47.462000+00:00,2023-08-11,16:22:47,MST,15.824321529453327,002,409964,2764,2737,319.565538082363,0.0007794965852669,278.36897458361886,0.0017240648434939,1749.6324344958307,1000,1000,0,0.0321542495018682,0.0554348433807562,0.1269198970672828,0.2615542419487779,1.0807062889023076
phoenix,28970,pooled_extension_20260921_phoenix,2023-08-15T21:49:20.544000+00:00,2023-08-15,14:49:20,MST,14.278193754174307,002,446517,2999,2970,330.0874482930065,0.0007392494536445,287.3990426747361,0.0018017822542177,1864.7630576662505,1000,1000,0,0.0541552365846967,0.0815144870581374,0.2166135640832232,0.4496661147099299,1.792498587723781
phoenix,29092,pooled_extension_20260921_phoenix,2023-08-23T18:39:51.131000+00:00,2023-08-23,11:39:51,MST,11.150364172176593,002,553858,3244,3233,424.6481811861845,0.0007667094836333,366.6015073749681,0.001411477181928,2231.252890054083,1000,1000,0,0.0285814983892796,0.0450322457129309,0.1109017397227534,0.2105755011739334,0.8079934957207611
phoenix,29545,pooled_extension_20260921_phoenix,2023-09-21T23:20:50.387000+00:00,2023-09-21,16:20:50,MST,16.001056795909463,002,341920,2282,2258,238.61968029141653,0.0006978816105855,209.62130607213712,0.0024863627325032,1389.716495736203,1000,1000,0,0.023352708521562,0.0442611983166951,0.0879167686888863,0.1635691969876569,0.6152579665968592
phoenix,29606,pooled_extension_20260921_phoenix,2023-09-25T21:45:42.930000+00:00,2023-09-25,14:45:42,MST,14.439552243409853,002,556675,3246,3235,427.2156453163335,0.00076744176641,368.5442694175049,0.0014041845695658,2237.482371048841,1000,1000,0,0.0216114377080062,0.0377125205173819,0.0839856172808042,0.1624473508426194,0.6263828723314555
