city,tile,scenes,raw_scene_valid_cells_in_domain,native_centers_in_domain,overlap_or_seam_cells_excluded,unique_QA_valid_before_context,paired_complete_primary,native_area_m2,ownership
phoenix,12SUB,2,37479,47917,25203,21821,21208,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SUC,2,248846,270608,100796,165486,161151,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SVB,1,135805,210528,808,135162,120151,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SVC,1,217047,282044,97163,148894,144007,4900,whole_footprint_inside_canonical_core_and_UTM_band
