city,tile,scenes,raw_scene_valid_cells_in_domain,native_centers_in_domain,overlap_or_seam_cells_excluded,unique_QA_valid_before_context,paired_complete_primary,native_area_m2,ownership
phoenix,12SUB,1,47858,47917,25203,22655,22040,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SUC,1,270547,270608,100796,169812,165345,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SVB,1,210528,210528,808,209720,190935,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SVC,1,282044,282044,97163,184881,178355,4900,whole_footprint_inside_canonical_core_and_UTM_band
