city,tile,scenes,raw_scene_valid_cells_in_domain,native_centers_in_domain,overlap_or_seam_cells_excluded,unique_QA_valid_before_context,paired_complete_primary,native_area_m2,ownership
phoenix,12SUB,1,47860,47917,25203,22657,22041,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SUC,1,270548,270608,100796,169812,165345,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SVB,2,204091,210528,808,203311,184818,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SVC,1,280562,282044,97163,184811,178285,4900,whole_footprint_inside_canonical_core_and_UTM_band
