city,tile,scenes,raw_scene_valid_cells_in_domain,native_centers_in_domain,overlap_or_seam_cells_excluded,unique_QA_valid_before_context,paired_complete_primary,native_area_m2,ownership
phoenix,12SUB,2,47855,47917,25203,22652,22037,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SUC,2,286830,270608,100796,166992,162593,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SVB,1,210527,210528,808,209720,190935,4900,whole_footprint_inside_canonical_core_and_UTM_band
phoenix,12SVC,2,298083,282044,97163,184812,178293,4900,whole_footprint_inside_canonical_core_and_UTM_band
