city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,acquisition_utc,apparent_local_solar_hour,view_zenith_p95_deg,collection,frozen_25_degree_precision_exception
phoenix,phoenix:28085,paired_primary,534786,3194,3183,407.7705511427964,0.0007624929432385972,352.39540381231643,0.0014697460086804464,0.006480326275388953,2156.6026482234724,0.001565348763559694,7,531585,[],1000,1000,0,3194,20260921,0.07729106903799457,0.037595810478597426,0.14734811455957586,0.038870973486533344,0.2900375072465574,1.1217360690125489,0.29722586263494294,2023-06-19T20:23:24.929000+00:00,12.909807684816125,22.339359283447266,002,True
phoenix,phoenix:28085,spatial_2km,534786,3194,3183,407.7705511427964,0.0007624929432385972,352.39540381231643,0.0014697460086804464,0.006480326275388953,2156.6026482234724,0.001565348763559694,7,531585,[],1000,1000,0,876,20260921,0.07729106903799458,0.04632012500247609,0.17961900908811823,0.04732288575480956,0.35868935989830436,1.3775127887990593,0.3608290083097741,2023-06-19T20:23:24.929000+00:00,12.909807684816125,22.339359283447266,002,True
phoenix,phoenix:28085,spatial_4km,534786,3194,3183,407.7705511427964,0.0007624929432385972,352.39540381231643,0.0014697460086804464,0.006480326275388953,2156.6026482234724,0.001565348763559694,7,531585,[],1000,1000,0,252,20260921,0.07729106903799458,0.0541401559194157,0.21954023407391698,0.05561034309669382,0.42037121835638386,1.6592819904273153,0.42521051705335666,2023-06-19T20:23:24.929000+00:00,12.909807684816125,22.339359283447266,002,True
phoenix,phoenix:28085,spatial_8km,534786,3194,3183,407.7705511427964,0.0007624929432385972,352.39540381231643,0.0014697460086804464,0.006480326275388953,2156.6026482234724,0.001565348763559694,7,531585,[],1000,1000,0,79,20260921,0.07729106903799464,0.0659937459220538,0.2567070342965747,0.06599044431718767,0.509434465670023,2.0112730353282835,0.5127032235708407,2023-06-19T20:23:24.929000+00:00,12.909807684816125,22.339359283447266,002,True
phoenix,phoenix:28192,paired_primary,550489,3245,3232,421.1872983205276,0.0007651148312146611,363.52359398642267,0.0014232819236214304,0.006276751303692211,2221.1947357171057,0.0015154852261515174,7,547237,[],1000,1000,0,3245,20260921,0.07729538914696377,0.032053484588979,0.1258636731142564,0.03201107874257319,0.24477383653877463,0.9590396104639467,0.24533135580939636,2023-06-26T17:55:48.103000+00:00,10.4247456959482,22.747732162475582,002,True
phoenix,phoenix:28192,spatial_2km,550489,3245,3232,421.1872983205276,0.0007651148312146611,363.52359398642267,0.0014232819236214304,0.006276751303692211,2221.1947357171057,0.0015154852261515174,7,547237,[],1000,1000,0,882,20260921,0.07729538914696378,0.03878074620659795,0.1557621302874006,0.03805342611869211,0.30166607241036,1.2195764356746999,0.2965266082272244,2023-06-26T17:55:48.103000+00:00,10.4247456959482,22.747732162475582,002,True
phoenix,phoenix:28192,spatial_4km,550489,3245,3232,421.1872983205276,0.0007651148312146611,363.52359398642267,0.0014232819236214304,0.006276751303692211,2221.1947357171057,0.0015154852261515174,7,547237,[],1000,1000,0,253,20260921,0.07729538914696378,0.042864043434456454,0.16996355085052506,0.043090186959350296,0.3563682070668262,1.4144685116072058,0.3565128866605675,2023-06-26T17:55:48.103000+00:00,10.4247456959482,22.747732162475582,002,True
phoenix,phoenix:28192,spatial_8km,550489,3245,3232,421.1872983205276,0.0007651148312146611,363.52359398642267,0.0014232819236214304,0.006276751303692211,2221.1947357171057,0.0015154852261515174,7,547237,[],1000,1000,0,79,20260921,0.07729538914696346,0.05033743993575182,0.19552653309648815,0.04874582178324707,0.439958193764432,1.7022252037890393,0.42734759113724935,2023-06-26T17:55:48.103000+00:00,10.4247456959482,22.747732162475582,002,True
phoenix,phoenix:28970,paired_primary,446517,2999,2970,330.0874482930065,0.0007392494536445567,287.3990426747361,0.0018017822542177944,0.007975368905004377,1864.7630576662505,0.0019337394722165658,7,443511,[],1000,1000,0,2999,20260921,0.08100812638892808,0.054155236584696745,0.2166135640832232,0.056532024374000095,0.4496661147099299,1.792498587723781,0.4696615781782687,2023-08-15T21:49:20.544000+00:00,14.27822530655253,19.12088394165039,002,True
phoenix,phoenix:28970,spatial_2km,446517,2999,2970,330.0874482930065,0.0007392494536445567,287.3990426747361,0.0018017822542177944,0.007975368905004377,1864.7630576662505,0.0019337394722165658,7,443511,[],1000,1000,0,850,20260921,0.08100812638892808,0.0625883347305528,0.24882474439288993,0.06324651739004782,0.5269175640728492,2.033440909240845,0.5363811752435138,2023-08-15T21:49:20.544000+00:00,14.27822530655253,19.12088394165039,002,True
