city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp
atlanta,atlanta:27835,spatial_4km,485177,7327,7266,27657.221589281144,0.05700439548717508,11462.344493400395,0.0011450677718626056,0.005264548300286894,4565.54593862316,0.0007853309517437088,7,477843,[],1000,1000,0,570,20260919,0.0012668855429862939,0.009720467817037988,0.037145108948307914,0.009707764754632068,0.061534567828332894,0.23871948363017337,0.06266339929077083
atlanta,atlanta:27835,spatial_8km,485177,7327,7266,27657.221589281144,0.05700439548717508,11462.344493400395,0.0011450677718626056,0.005264548300286894,4565.54593862316,0.0007853309517437088,7,477843,[],1000,1000,0,164,20260919,0.0012668855429862917,0.013468850648950342,0.0516520242718575,0.013366214899319174,0.08866494960550038,0.3453002030051531,0.08890453160183559
atlanta,atlanta:27896,spatial_4km,510119,7557,7501,29378.58761517817,0.0575916357069197,12208.404707411017,0.0010795010528227471,0.004884562661900468,4800.166724858053,0.0007393164177189833,7,502555,[],1000,1000,0,576,20260919,0.0011780312362900378,0.006743749181467434,0.02649931460251348,0.006547442599279679,0.04013151025717645,0.15650879759659087,0.040229724501278936
atlanta,atlanta:27896,spatial_8km,510119,7557,7501,29378.58761517817,0.0575916357069197,12208.404707411017,0.0010795010528227471,0.004884562661900468,4800.166724858053,0.0007393164177189833,7,502555,[],1000,1000,0,164,20260919,0.0011780312362900365,0.008679245912523125,0.034958266350171546,0.008690168180516126,0.053182966691467576,0.20925496931015974,0.05419983243017095
atlanta,atlanta:27916,spatial_4km,481257,7245,7178,27277.931156980114,0.05668059094616829,11473.523498671253,0.0011477883364683819,0.005187928444843383,4521.740020072154,0.0007962507137473618,7,474005,[],1000,1000,0,571,20260919,0.0012348943809312046,0.003545312689282298,0.013776478652374469,0.003528336458450765,0.019664218509508974,0.0764709661905994,0.019494423860969615
atlanta,atlanta:27916,spatial_8km,481257,7245,7178,27277.931156980114,0.05668059094616829,11473.523498671253,0.0011477883364683819,0.005187928444843383,4521.740020072154,0.0007962507137473618,7,474005,[],1000,1000,0,164,20260919,0.001234894380931203,0.004845022551326529,0.018888849213836156,0.004814732495052678,0.02675282681153875,0.10666494621855149,0.026855359838447498
atlanta,atlanta:28145,spatial_4km,253835,5016,4894,13999.489523025903,0.05515192752388718,5819.422863934236,0.0021876705094770275,0.008011638467322486,2667.613237991486,0.0012750508193605174,7,248812,[],1000,1000,0,474,20260919,0.0028720337607695393,0.010546655292374855,0.041343798169414886,0.010584988105529651,0.06950867844199989,0.27005975162808715,0.0692242386323264
atlanta,atlanta:28145,spatial_8km,253835,5016,4894,13999.489523025903,0.05515192752388718,5819.422863934236,0.0021876705094770275,0.008011638467322486,2667.613237991486,0.0012750508193605174,7,248812,[],1000,1000,0,146,20260919,0.002872033760769534,0.011202615757565029,0.04382717418515006,0.011533292828325685,0.07445997302566121,0.296282389337879,0.07750157425449174
atlanta,atlanta:28598,spatial_4km,237294,4903,4742,13009.909685653152,0.054826121543962984,5609.4487266292335,0.0022902937278518392,0.009387482782861728,2457.5608927344883,0.0016644806132595537,7,232384,[],1000,1000,0,496,20260919,0.002477278101535718,0.006979139060336464,0.02613880201486063,0.0073269343785835155,0.0471738016480155,0.17985011187834332,0.04930688227396772
atlanta,atlanta:28598,spatial_8km,237294,4903,4742,13009.909685653152,0.054826121543962984,5609.4487266292335,0.0022902937278518392,0.009387482782861728,2457.5608927344883,0.0016644806132595537,7,232384,[],1000,1000,0,158,20260919,0.0024772781015357185,0.008799723991301016,0.03385241690654717,0.00927478890086969,0.06233191088350932,0.2414341113167251,0.06481021613739929
